id,subject,topic,question,optionA,optionB,optionC,optionD,answerIndex,explanation,source,examTags,pyqVerified,highYield,status
ZM-00014,Anatomy,Upper Limb,[QUESTION SLOT 14] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00015,Anatomy,Upper Limb,[QUESTION SLOT 15] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00016,Anatomy,Upper Limb,[QUESTION SLOT 16] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00017,Anatomy,Upper Limb,[QUESTION SLOT 17] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00018,Anatomy,Upper Limb,[QUESTION SLOT 18] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00019,Anatomy,Upper Limb,[QUESTION SLOT 19] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00020,Anatomy,Upper Limb,[QUESTION SLOT 20] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00021,Anatomy,Upper Limb,[QUESTION SLOT 21] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00022,Anatomy,Upper Limb,[QUESTION SLOT 22] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00023,Anatomy,Upper Limb,[QUESTION SLOT 23] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00024,Anatomy,Upper Limb,[QUESTION SLOT 24] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00025,Anatomy,Upper Limb,[QUESTION SLOT 25] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00026,Anatomy,Upper Limb,[QUESTION SLOT 26] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00027,Anatomy,Upper Limb,[QUESTION SLOT 27] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00028,Anatomy,Upper Limb,[QUESTION SLOT 28] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00029,Anatomy,Upper Limb,[QUESTION SLOT 29] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00030,Anatomy,Upper Limb,[QUESTION SLOT 30] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00031,Anatomy,Upper Limb,[QUESTION SLOT 31] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00032,Anatomy,Upper Limb,[QUESTION SLOT 32] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00033,Anatomy,Upper Limb,[QUESTION SLOT 33] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00034,Anatomy,Upper Limb,[QUESTION SLOT 34] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00035,Anatomy,Upper Limb,[QUESTION SLOT 35] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00036,Anatomy,Upper Limb,[QUESTION SLOT 36] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00037,Anatomy,Upper Limb,[QUESTION SLOT 37] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00038,Anatomy,Upper Limb,[QUESTION SLOT 38] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00039,Anatomy,Upper Limb,[QUESTION SLOT 39] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00040,Anatomy,Upper Limb,[QUESTION SLOT 40] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00041,Anatomy,Upper Limb,[QUESTION SLOT 41] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00042,Anatomy,Upper Limb,[QUESTION SLOT 42] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00043,Anatomy,Upper Limb,[QUESTION SLOT 43] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00044,Anatomy,Upper Limb,[QUESTION SLOT 44] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00045,Anatomy,Upper Limb,[QUESTION SLOT 45] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00046,Anatomy,Upper Limb,[QUESTION SLOT 46] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00047,Anatomy,Upper Limb,[QUESTION SLOT 47] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00048,Anatomy,Upper Limb,[QUESTION SLOT 48] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00049,Anatomy,Upper Limb,[QUESTION SLOT 49] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00050,Anatomy,Upper Limb,[QUESTION SLOT 50] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00051,Anatomy,Upper Limb,[QUESTION SLOT 51] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00052,Anatomy,Upper Limb,[QUESTION SLOT 52] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00053,Anatomy,Upper Limb,[QUESTION SLOT 53] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00054,Anatomy,Upper Limb,[QUESTION SLOT 54] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00055,Anatomy,Lower Limb,[QUESTION SLOT 1] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00056,Anatomy,Lower Limb,[QUESTION SLOT 2] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00057,Anatomy,Lower Limb,[QUESTION SLOT 3] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00058,Anatomy,Lower Limb,[QUESTION SLOT 4] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00059,Anatomy,Lower Limb,[QUESTION SLOT 5] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00060,Anatomy,Lower Limb,[QUESTION SLOT 6] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00061,Anatomy,Lower Limb,[QUESTION SLOT 7] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00062,Anatomy,Lower Limb,[QUESTION SLOT 8] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00063,Anatomy,Lower Limb,[QUESTION SLOT 9] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00064,Anatomy,Lower Limb,[QUESTION SLOT 10] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00065,Anatomy,Lower Limb,[QUESTION SLOT 11] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00066,Anatomy,Lower Limb,[QUESTION SLOT 12] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00067,Anatomy,Lower Limb,[QUESTION SLOT 13] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00068,Anatomy,Lower Limb,[QUESTION SLOT 14] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00069,Anatomy,Lower Limb,[QUESTION SLOT 15] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00070,Anatomy,Lower Limb,[QUESTION SLOT 16] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00071,Anatomy,Lower Limb,[QUESTION SLOT 17] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00072,Anatomy,Lower Limb,[QUESTION SLOT 18] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00073,Anatomy,Lower Limb,[QUESTION SLOT 19] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00074,Anatomy,Lower Limb,[QUESTION SLOT 20] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00075,Anatomy,Lower Limb,[QUESTION SLOT 21] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00076,Anatomy,Lower Limb,[QUESTION SLOT 22] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00077,Anatomy,Lower Limb,[QUESTION SLOT 23] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00078,Anatomy,Lower Limb,[QUESTION SLOT 24] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00079,Anatomy,Lower Limb,[QUESTION SLOT 25] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00080,Anatomy,Lower Limb,[QUESTION SLOT 26] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00081,Anatomy,Lower Limb,[QUESTION SLOT 27] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00082,Anatomy,Lower Limb,[QUESTION SLOT 28] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00083,Anatomy,Lower Limb,[QUESTION SLOT 29] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00084,Anatomy,Lower Limb,[QUESTION SLOT 30] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00085,Anatomy,Lower Limb,[QUESTION SLOT 31] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00086,Anatomy,Lower Limb,[QUESTION SLOT 32] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00087,Anatomy,Lower Limb,[QUESTION SLOT 33] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00088,Anatomy,Lower Limb,[QUESTION SLOT 34] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00089,Anatomy,Lower Limb,[QUESTION SLOT 35] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00090,Anatomy,Lower Limb,[QUESTION SLOT 36] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00091,Anatomy,Lower Limb,[QUESTION SLOT 37] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00092,Anatomy,Lower Limb,[QUESTION SLOT 38] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00093,Anatomy,Lower Limb,[QUESTION SLOT 39] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00094,Anatomy,Lower Limb,[QUESTION SLOT 40] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00095,Anatomy,Lower Limb,[QUESTION SLOT 41] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00096,Anatomy,Lower Limb,[QUESTION SLOT 42] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00097,Anatomy,Lower Limb,[QUESTION SLOT 43] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00098,Anatomy,Lower Limb,[QUESTION SLOT 44] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00099,Anatomy,Lower Limb,[QUESTION SLOT 45] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00100,Anatomy,Lower Limb,[QUESTION SLOT 46] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00101,Anatomy,Lower Limb,[QUESTION SLOT 47] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00102,Anatomy,Lower Limb,[QUESTION SLOT 48] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00103,Anatomy,Lower Limb,[QUESTION SLOT 49] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00104,Anatomy,Lower Limb,[QUESTION SLOT 50] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00105,Anatomy,Lower Limb,[QUESTION SLOT 51] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00106,Anatomy,Lower Limb,[QUESTION SLOT 52] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00107,Anatomy,Lower Limb,[QUESTION SLOT 53] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00108,Anatomy,Lower Limb,[QUESTION SLOT 54] Add a verified Anatomy question from the topic: Lower Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00109,Anatomy,Thorax,[QUESTION SLOT 1] Add a verified Anatomy question from the topic: Thorax.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00110,Anatomy,Thorax,[QUESTION SLOT 2] Add a verified Anatomy question from the topic: Thorax.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00111,Anatomy,Thorax,[QUESTION SLOT 3] Add a verified Anatomy question from the topic: Thorax.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00112,Anatomy,Thorax,[QUESTION SLOT 4] Add a verified Anatomy question from the topic: Thorax.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00113,Anatomy,Thorax,[QUESTION SLOT 5] Add a verified Anatomy question from the topic: Thorax.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00114,Anatomy,Thorax,[QUESTION SLOT 6] Add a verified Anatomy question from the topic: Thorax.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00115,Anatomy,Thorax,[QUESTION SLOT 7] Add a verified Anatomy question from the topic: Thorax.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00116,Anatomy,Thorax,[QUESTION SLOT 8] Add a verified Anatomy question from the topic: Thorax.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00117,Anatomy,Thorax,[QUESTION SLOT 9] Add a verified Anatomy question from the topic: Thorax.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00118,Anatomy,Thorax,[QUESTION SLOT 10] Add a verified Anatomy question from the topic: Thorax.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00119,Anatomy,Thorax,[QUESTION SLOT 11] Add a verified Anatomy question from the topic: Thorax.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
